Question,Option A,Option B,Option C,Option D,Category
How did the film 'Rushmore' establish Wes Anderson's signature aesthetic and themes of youthful ambition?,Didn't Watch,Disliked It,Liked It,Loved It,Cult Classics
Did the stylized cinematography and exploration of organized crime make 'Goodfellas' a compelling watch?,Didn't Watch,Disliked It,Liked It,Loved It,Cult Classics
How well did the visual spectacle and themes of morality define 'Akira' as a landmark animated film?,Didn't Watch,Disliked It,Liked It,Loved It,Cult Classics
Was the dark, romantic fantasy and unique visual design of 'Edward Scissorhands' memorable?,Didn't Watch,Disliked It,Liked It,Loved It,Cult Classics
"How did the use of long takes and a bleak, post-apocalyptic landscape contribute to the atmosphere of Andrei Tarkovsky's 'Stalker'?",Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Did the film 'City of God' effectively use non-professional actors and fast-paced editing to depict life in the Rio favelas?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How well did the themes of political repression and surveillance resonate with you in 'The Lives of Others'?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Was the exploration of childhood innocence and poverty compelling in Vittorio De Sica's 'Bicycle Thieves'?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How did the tragic plot and stunning visuals of Wong Kar-wai's 'In the Mood for Love' convey unspoken romance?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Did the epic scope and historical context of 'Seven Samurai' define it as a masterpiece of international cinema?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
"How well did the magical realism and exploration of family history resonate with you in 'Like Water for Chocolate'?",Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Was the blend of animation, memoir, and political history effective in the French film 'Persepolis'?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How did the use of documentary footage and stark realism in 'Come and See' convey the horrors of WWII?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Did the film 'A Separation' successfully explore complex ethical and marital dilemmas through its tightly written script?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
"How well did the exploration of memory, loss, and the Holocaust affect you in the French film 'Shoah' (documentary)?",Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Was the unique camera work and exploration of familial relationships compelling in 'Roma'?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How did the dark comedy and themes of corruption in 'Trainspotting' make it a memorable British film?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Did the emotional depth and themes of love and sacrifice in 'Pan's Labyrinth' resonate with you?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How well did the film 'Y Tu Mamá También' use its road trip narrative to explore social class and political issues in Mexico?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Was the portrayal of moral decay and religious fanaticism compelling in Ingmar Bergman's 'The Seventh Seal'?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How did the film 'Run Lola Run' use its split narrative and high energy to explore destiny and chance?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
"Did the visual poetry and focus on the natural world in Terrence Malick's 'The Tree of Life' enhance its narrative?",Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How well did the film 'The Hunt' handle the complex, difficult subject of mass hysteria and false accusation?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Was the vibrant color palette and focus on the power of cinema compelling in 'Cinema Paradiso'?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How did the film 'Oldboy' (South Korean original) use its intense violence and complex plot to explore themes of revenge and fate?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Did the coming-of-age story and political backdrop make '400 Blows' a foundational film of the French New Wave?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
How well did the exploration of social realism and poverty in 'I, Daniel Blake' affect you?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Was the stylized martial arts choreography and tragic romance compelling in 'Crouching Tiger, Hidden Dragon'?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
Did the film 'Spione' (Fritz Lang) set a strong early standard for the espionage thriller genre?,Didn't Watch,Disliked It,Liked It,Loved It,International Cinema
